
B&B
,,0.0,0
,,1.0,1
,,2.0,2
,,3.0,3
,,4.0,4
,,5.0,5
,,6.0,6
,,7.0,7
,,8.0,8
,,9.0,9
,,10.0,10
,,11.0,11
,,12.0,12
,,13.0,13
,,14.0,14
,,15.0,15
,,16.0,16
,,17.0,17
,,18.0,18
,,19.0,19
,,20.0,20
,,21.0,21
,,22.0,22
,,23.0,23
,,24.0,24
,,25.0,25
,,26.0,26
,,26.0,27
,,25.0,28
,,24.0,29
,,23.0,30
,,22.0,31
,,21.0,32
,,20.0,33
,,19.0,34
,,18.0,35
,,17.0,36
,,16.0,37
,,17.0,38
,,18.0,39
,,19.0,40
,,20.0,41
,,21.0,42
,,20.0,43
,,19.0,44
,,18.0,45
,,17.0,46
,,16.0,47
,,15.0,48
,,14.0,49
,,15.0,50
,,16.0,51
,,17.0,52
,,18.0,53
,,19.0,54
,,20.0,55
,,21.0,56
,,20.0,57
,,19.0,58
,,20.0,59
,,21.0,60
,,20.0,61
,,19.0,62
,,20.0,63
,,19.0,64
,,18.0,65
,,19.0,66
,,18.0,67
,,17.0,68
,,16.0,69
,,17.0,70
,,18.0,71
,,19.0,72
,,18.0,73
,,19.0,74
,,20.0,75
,,19.0,76
,,18.0,77
,,17.0,78
,,18.0,79
,,19.0,80
,,20.0,81
,,19.0,82
,,18.0,83
,,19.0,84
,,18.0,85
,,17.0,86
,,18.0,87
,,19.0,88
,,20.0,89
,,19.0,90
,,18.0,91
,,19.0,92
,,18.0,93
,,17.0,94
,,16.0,95
,,15.0,96
,,14.0,97
,,13.0,98
,,14.0,99
,,15.0,100
,,14.0,101
,,15.0,102
,,14.0,103
,,13.0,104
,,14.0,105
,,15.0,106
,,16.0,107
,,15.0,108
,,14.0,109
,,15.0,110
,,16.0,111
,,17.0,112
,,18.0,113
,,19.0,114
,,18.0,115
,,19.0,116
,,20.0,117
,,21.0,118
,,20.0,119
,,21.0,120
,,20.0,121
,,19.0,122
,,18.0,123
,,17.0,124
,,16.0,125
,,17.0,126
,,16.0,127
,,15.0,128
,,14.0,129
,,13.0,130
,,12.0,131
,,13.0,132
,,14.0,133
,,13.0,134
,,12.0,135
,,11.0,136
,,10.0,137
,,11.0,138
,,12.0,139
,,13.0,140
,,14.0,141
,,15.0,142
,,16.0,143
,,17.0,144
,,18.0,145
,,19.0,146
,,20.0,147
,,21.0,148
,,20.0,149
,,19.0,150
,,18.0,151
,,19.0,152
,,20.0,153
,,21.0,154
,,20.0,155
,,19.0,156
,,18.0,157
,,17.0,158
,,16.0,159
,,17.0,160
,,18.0,161
,,19.0,162
,,20.0,163
,,19.0,164
,,18.0,165
,,19.0,166
,,18.0,167
,,17.0,168
,,18.0,169
,,17.0,170
,,18.0,171
,,17.0,172
,,16.0,173
,,15.0,174
,,14.0,175
,,15.0,176
,,16.0,177
,,17.0,178
,,18.0,179
,,19.0,180
,,20.0,181
,,21.0,182
,,20.0,183
,,21.0,184
,,20.0,185
,,19.0,186
,,18.0,187
,,17.0,188
,,16.0,189
,,17.0,190
,,16.0,191
,,15.0,192
,,16.0,193
,,15.0,194
,,16.0,195
,,17.0,196
,,16.0,197
,,15.0,198
,,14.0,199
,,13.0,200
,,12.0,201
,,13.0,202
,,14.0,203
,,13.0,204
,,12.0,205
,,11.0,206
,,12.0,207
,,13.0,208
,,12.0,209
,,13.0,210
,,12.0,211
,,11.0,212
,,12.0,213
,,13.0,214
,,14.0,215
,,13.0,216
,,12.0,217
,,13.0,218
,,12.0,219
,,11.0,220
,,10.0,221
,,9.0,222
,,8.0,223
,,9.0,224
,,10.0,225
,,11.0,226
,,12.0,227
,,13.0,228
,,14.0,229
,,15.0,230
,,16.0,231
